X1,season,player,Pos,possessions,Age,height,weight,G,DRB,BLK,STL,DRAYMOND,PTS,FT.,PPG,FTP,draft_round,draft_number,draft_year,years_in_nba
38,2015,Andre Drummond,C,4944.056,21,211,126,82,667,153,73,0.5762386,13.780487804878,0.389,13.780487804878,0.389,1,9,2012,3
39,2016,Andre Drummond,C,5609.562,22,211,126,81,803,112,119,-0.2815954,16.2222222222222,0.355,16.2222222222222,0.355,1,9,2012,4
40,2017,Andre Drummond,C,4822.015,23,211,126,81,771,89,124,-1.048324,13.641975308642,0.386,13.641975308642,0.386,1,9,2012,5
41,2014,Andre Iguodala,SF,4652.563,30,198,97,63,240,18,95,-0.3161691,9.33333333333333,0.652,9.33333333333333,0.652,1,9,2004,10
42,2015,Andre Iguodala,SF,5579.277,31,198,97,77,213,25,89,0.6548673,7.84415584415584,0.596,7.84415584415584,0.596,1,9,2004,11
43,2016,Andre Iguodala,SF,5284.902,32,198,97,65,211,19,73,-1.00842,7.03076923076923,0.614,7.03076923076923,0.614,1,9,2004,12
44,2017,Andre Iguodala,SF,5156.421,33,198,97,76,253,39,76,0.1916146,7.55263157894737,0.706,7.55263157894737,0.706,1,9,2004,13
45,2014,Andre Roberson,SG,835.7681,22,196,83,40,58,10,19,-0.3315544,1.875,0.7,1.875,0.7,1,26,2013,1
46,2015,Andre Roberson,SG,2676.219,23,196,83,67,195,29,53,2.306452,3.40298507462687,0.479,3.40298507462687,0.479,1,26,2013,2
47,2016,Andre Roberson,SG,4172.076,24,196,83,70,172,42,53,2.079207,4.81428571428571,0.611,4.81428571428571,0.611,1,26,2013,3
48,2017,Andre Roberson,SF,5343.956,25,196,83,79,304,79,94,2.848248,6.6075949367088596,0.423,6.6075949367088596,0.423,1,26,2013,4
49,2014,Anthony Bennett,PF,1367.299,20,203,111,52,106,8,21,-1.894187,4.17307692307692,0.638,4.17307692307692,0.638,1,1,2013,1
50,2015,Anthony Bennett,PF,1848.345,21,203,111,57,164,16,27,-2.552391,5.2280701754386,0.641,5.2280701754386,0.641,1,1,2013,2
51,2016,Anthony Bennett,PF,180.4775,22,203,111,19,17,0,5,-9.058456,1.47368421052632,0.9,1.47368421052632,0.9,1,1,2013,3
52,2017,Anthony Bennett,PF,576.675,23,203,111,23,53,3,5,-2.51266,5,0.722,5,0.722,1,1,2013,4
53,2014,Anthony Davis,PF,4631.505,20,206,97,67,466,189,89,1.240198,20.8059701492537,0.791,20.8059701492537,0.791,1,1,2012,2
54,2015,Anthony Davis,PF,5135.391,21,206,97,68,523,200,100,2.287045,24.3529411764706,0.805,24.3529411764706,0.805,1,1,2012,3
55,2016,Anthony Davis,C,4452.43,22,206,97,61,497,125,78,1.403481,24.2786885245902,0.758,24.2786885245902,0.758,1,1,2012,4
56,2017,Anthony Davis,C,5602.739,23,206,97,75,712,167,94,2.259874,27.9866666666667,0.802,27.9866666666667,0.802,1,1,2012,5
57,2014,Aron Baynes,C,1222.682,27,208,117,53,88,5,2,-0.0083244,3.0377358490566,0.905,3.0377358490566,0.905,Undrafted,Undrafted,NA,NA
58,2015,Aron Baynes,C,2388.48,28,208,117,70,209,22,16,1.509869,6.58571428571429,0.865,6.58571428571429,0.865,Undrafted,Undrafted,NA,NA
59,2016,Aron Baynes,C,2626.788,29,208,117,81,244,52,21,-0.0452236,6.34567901234568,0.764,6.34567901234568,0.764,Undrafted,Undrafted,NA,NA
60,2017,Aron Baynes,C,2409.348,30,208,117,75,222,39,17,2.717027,4.86666666666667,0.84,4.86666666666667,0.84,Undrafted,Undrafted,NA,NA
61,2014,Avery Bradley,PG,3716.956,23,188,81,60,178,11,63,-1.0746,14.85,0.804,14.85,0.804,1,19,2010,4
62,2015,Avery Bradley,SG,5257.806,24,188,81,77,195,15,82,-0.7967757,13.9090909090909,0.79,13.9090909090909,0.79,1,19,2010,5
